nl,code
from django.views import debug into default name space.,from django . views import debug
"call the function logging.getLogger with string 'django.request' as the argument, assign the return object handle to logger.",logger = logging . getLogger ( 'django.request' )
"derive class BaseHandler, derive from the base class object, making this a new style class.",class BaseHandler ( object ) :
response_fixes is a list with http.fix_location_header and http.conditional_content_removal as elements.,"response_fixes = [ http . fix_location_header , http . conditional_content_removal , ]"
"define initialization method __init__, with self class instance as the argument.",def __init__ ( self ) :
"set class fields _request_middleware, _view_middleware, _template_response_middleware, _response_middleware and _exception_middleware to None.",self . _request_middleware = self . _view_middleware = self . _template_response_middleware = self . _response_middleware = self . _exception_middleware = None
define method load_middleware with class instance self as the argument.,def load_middleware ( self ) :
self._view_middleware is an empty list.,self . _view_middleware = [ ]
self._template_response_middleware is an empty list.,self . _template_response_middleware = [ ]
_response_middleware is an empty list.,self . _response_middleware = [ ]
exception_middleware is an empty list.,self . _exception_middleware = [ ]
request_middleware is an empty list.,request_middleware = [ ]
for every middleware_path in settings.MIDDLEWARE_CLASSES:,for middleware_path in settings . MIDDLEWARE_CLASSES :
"evaluate the function import_string with middleware_path as argument, substitute the result for my_class.",mw_class = import_string ( middleware_path )
"try,",try :
"call the mw_class function, store the result in the mw_instance.",mw_instance = mw_class ( )
"if MiddlewareNotUsed exception is raised,",except MiddlewareNotUsed :
skip this iteration of he smallest enclosing loop.,continue
if mw_instance has an attribute named 'process_request'.,"if hasattr ( mw_instance , 'process_request' ) :"
append mw_instance.process_request at the end of request_middleware.,request_middleware . append ( mw_instance . process_request )
if mw_instance has an attribute named 'process_view'.,"if hasattr ( mw_instance , 'process_view' ) :"
append mw_instance.process_view at the end of self._view_middleware.,self . _view_middleware . append ( mw_instance . process_view )
if mw_instance has an attribute named 'process_template_response'.,"if hasattr ( mw_instance , 'process_template_response' ) :"
insert mw_instance.process_template_response at the beginning of self._template_response_middleware.,"self . _template_response_middleware . insert ( 0 , mw_instance . process_template_response )"
if mw_instance has an attribute named 'process_response'.,"if hasattr ( mw_instance , 'process_response' ) :"
insert mw_instance.process_response at the beginning of self._response_middleware.,"self . _response_middleware . insert ( 0 , mw_instance . process_response )"
if mw_instance has an attribute named 'process_exception'.,"if hasattr ( mw_instance , 'process_exception' ) :"
insert mw_instance.process_exception at the beginning of self._exception_middleware.,"self . _exception_middleware . insert ( 0 , mw_instance . process_exception )"
substitute self._request_middleware for request_middleware.,self . _request_middleware = request_middleware
"define the method make_view_atomic, with self class instance and view as the arguments.","def make_view_atomic ( self , view ) :"
"get attribute '_non_atomic_requests' from the view object, if the attribute doesnt exist return the empty set, substitute the result for non_atomic_requests.","non_atomic_requests = getattr ( view , '_non_atomic_requests' , set ( ) )"
"call the method connections.all(), perform the following for every db in the result,",for db in connections . all ( ) :
"if value under the key 'ATOMIC_REQUESTS of db.settings_dic dictionary is True and db.alias is not present in the non_atomic_requests,",if ( db . settings_dict [ 'ATOMIC_REQUESTS' ] and db . alias not in non_atomic_requests ) :
"call the function transaction.atomic, with using set to db.alias as the argument, return value is a function which is called,",view = transaction . atomic ( using = db . alias ) ( view )
"with the argument view, store the result in the view. return view",return view
"define method get_exception_response, with self class instance, request, resolver and status_code as the arguments.","def get_exception_response ( self , request , resolver , status_code ) :"
"try,",try :
"call the function resolver.resolve_error_handler with status_code as an argument, assign the result to the callback and param_dict, respectively.","callback , param_dict = resolver . resolve_error_handler ( status_code )"
"call the callback function with request and dictionary argument param_dict as the arguments, substitute it for response.","response = callback ( request , ** param_dict )"
"if an exception occurred,",except :
"call the method signals.got_request_exception.send with the sender set to the type of this class, and request set to request as the arguments.","signals . got_request_exception . send ( sender = self . __class__ , request = request )"
"call the method self.handle_uncaught_exception with request, resolver and return value of the function sys.exec_info as the arguments.","response = self . handle_uncaught_exception ( request , resolver , sys . exc_info ( ) )"
return response,return response
"define the method get_response, with self class instance and request as the arguments.","def get_response ( self , request ) :"
substitute settings.ROOT_URLCONF for urlconf.,urlconf = settings . ROOT_URLCONF
call the method urlresolvers.set_urlconf with urlconf as the argument.,urlresolvers . set_urlconf ( urlconf )
"call the method urlresolvers.RegexURLResolver with raw literal string '^/' and urlconf as the arguments, substitute the result for resolver.","resolver = urlresolvers . RegexURLResolver ( r'^/' , urlconf )"
"try,",try :
set response to None.,response = None
"for every middleware_method in self._request_middleware,",for middleware_method in self . _request_middleware :
"call the middleware_method with the request as an argument, substitute the result for response.",response = middleware_method ( request )
"if response is True,",if response :
breaks from the smallest enclosing loop execution.,break
"if response is None,",if response is None :
"if request has an attribute named 'urlconf',","if hasattr ( request , 'urlconf' ) :"
substitute request.urlconf for urlconf.,urlconf = request . urlconf
call the function urlresolvers.set_urlconf with urlconf as the argument.,urlresolvers . set_urlconf ( urlconf )
"call the method urlresolvers.RegexURLResolver with raw literal string '^/' and urlconf as the arguments, substitute the result for resolver.","resolver = urlresolvers . RegexURLResolver ( r'^/' , urlconf )"
call to the resolver.resolve method with request.path_info as an argument.,resolver_match = resolver . resolve ( request . path_info )
"assign the values to the callback, callback_args, callback_kwargs, respectively, from the resolver_match tuple.","callback , callback_args , callback_kwargs = resolver_match"
substitute resolver_match for request.resolver_match.,request . resolver_match = resolver_match
"for every middleware_method in self._view_middleware,",for middleware_method in self . _view_middleware :
"call the middleware_method with request, callback, callback_args and callback_kwargs as the arguments, substitute the result for response.","response = middleware_method ( request , callback , callback_args , callback_kwargs )"
"if response is True,",if response :
break from the smallest enclosing loop execution.,break
"if response is None,",if response is None :
"call the method self.make_view_atomic with callback as the argument, substitute the result for the wrapped_callback.",wrapped_callback = self . make_view_atomic ( callback )
"try,",try :
"call the function wrapped_callback with request, list or arguments callback_args and dictionary arguments callback_kwargs,","response = wrapped_callback ( request , * callback_args , ** callback_kwargs )"
"as the arguments, substitute the result for response. if Exception, renamed to e, exception is caught,",except Exception as e :
"for every middleware_method in self._exception_middleware,",for middleware_method in self . _exception_middleware :
"call the middleware_method with request and e as the arguments, substitute the result for response.","response = middleware_method ( request , e )"
"if response is True,",if response :
break from the smallest enclosing loop execution.,break
"if response is None,",if response is None :
raise the exception.,raise
"if response is None,",if response is None :
"if callback is of instance types.FunctionType,","if isinstance ( callback , types . FunctionType ) :"
"get the name of the callback, substitute it for view_name.",view_name = callback . __name__
"if not,",else :
"get the name of the type of the callback, append the string '.__call__' to it, substitute it for view_name.",view_name = callback . __class__ . __name__ + '.__call__'
"substitute the '%s' in the string ""The view %s.%s didn't return an HttpResponse object. It returned None instead."",","raise ValueError ( ""The view %s.%s didn't return an HttpResponse object. It returned None instead."" % ( callback . __module__ , view_name ) )"
"with the name of the module callback is in and the view_name, respectively, use it as the argument for the ValueError exception raise. if response has an attribute named 'render' and response.render is a callable function,","if hasattr ( response , 'render' ) and callable ( response . render ) :"
"for every middleware_method in self._template_response_middleware,",for middleware_method in self . _template_response_middleware :
"call the function middleware_method with the request and response as the arguments, assign the result to response.","response = middleware_method ( request , response )"
"if response is None,",if response is None :
"replace '%s' in the string ""%s.process_template_response didn't return an HttpResponse object. It returned None instead."",","raise ValueError ( ""%s.process_template_response didn't return an "" ""HttpResponse object. It returned None instead."" % ( middleware_method . __self__ . __class__ . __name__ ) )"
"with name of the class type of the middleware_method instance, use it as the argument for call to the ValueError exception raise. call the response.render() method and assign the return to the response.",response = response . render ( )
"if exception http.Http404 as e is caught,",except http . Http404 as e :
"substitute '%s' in 'Not Found: %s' with request.path, extra is an dictionary with two pairs of elements 'status_code' with value 404,","logger . warning ( 'Not Found: %s' , request . path , extra = { 'status_code' : 404 , 'request' : request } )"
"and 'request with value request, respectively use the previous as the arguments for the call to the logger.warning function. if settings.DEBUG is True,",if settings . DEBUG :
"call the function debug.technical_404_response with request and e as arguments, assign the result to response.","response = debug . technical_404_response ( request , e )"
"if not,",else :
"call the method self.get_exception_response with request, resolver and integer 404 as the arguments, assign the result to response.","response = self . get_exception_response ( request , resolver , 404 )"
"if exception PermissionDenied is caught,",except PermissionDenied :
"substitute '%s' in 'Forbidden (Permission denied): %s' with request.path, extra is an dictionary with two pairs of elements,","logger . warning ( 'Forbidden (Permission denied): %s' , request . path , extra = { 'status_code' : 403 , 'request' : request } )"
"'status_code' with value 403, and 'request with value request, respectively use the previous as the arguments for the call to the logger.warning function. call the method self.get_exception_response with request, resolver and integer 403 as the arguments, assign the result to response.","response = self . get_exception_response ( request , resolver , 403 )"
"if exception SuspiciousOperation as e is caught,",except SuspiciousOperation as e :
"substitute '%s' in 'django.security.%s' with the name of the type of the class object e, use it as the argument for the call to the,",security_logger = logging . getLogger ( 'django.security.%s' % e . __class__ . __name__ )
"function logging.getLogger, assign the result to the security_logger. evaluate the function force_text with e as an argument, extra is an dictionary with two pair of elements,","security_logger . error ( force_text ( e ) , extra = { 'status_code' : 400 , 'request' : request } )"
"'status code' with integer value of 400 and 'request' with value request, respectively use the previous to call the function security_logger.error. if settings.DEBUG is True,",if settings . DEBUG :
"evaluate the function debug.technical_500_response with request, evaluated value of function sys.exc_info as a list,","return debug . technical_500_response ( request , * sys . exc_info ( ) , status_code = 400 )"
"status code set to integer 400, return the result. call the method self.get_exception_response with the request, resolver and integer 400 as the arguments, substitute the result for response.","response = self . get_exception_response ( request , resolver , 400 )"
"if SystemExit exception is caught,",except SystemExit :
raise an exception.,raise
"otherwise if any other exception is caught,",except :
call the method signals.got_request_exception.send with sender set to type of the self class instance and request set to request.,"signals . got_request_exception . send ( sender = self . __class__ , request = request )"
"call to the self.handle_uncaught_exception method with request, resolver and value of the evaluated function sys.exec_info,","response = self . handle_uncaught_exception ( request , resolver , sys . exc_info ( ) )"
"as the arguments, substitute the result for response. try,",try :
"for every middleware_method in self._response_middleware,",for middleware_method in self . _response_middleware :
"call the function middleware_method with request and response as the arguments, substitute the result for response.","response = middleware_method ( request , response )"
"if response is None,",if response is None :
"substitute '%s' is ""%s.process_response didn't return an HttpResponse object. It returned None instead."",","raise ValueError ( ""%s.process_response didn't return an "" ""HttpResponse object. It returned None instead."" % ( middleware_method . __self__ . __class__ . __name__ ) )"
"with the name of the type of the self class instance of the middleware_method, raise the ValueError with the previous as the argument. call the method self.apply_response_fixes with the request and response as the arguments, substitute the result for response.","response = self . apply_response_fixes ( request , response )"
"if any exception is caught,",except :
call the signals.got_request_exception.send method with sender set to type of the self class instance and request set to request.,"signals . got_request_exception . send ( sender = self . __class__ , request = request )"
"call to the self.handle_uncaught_exception method with request, resolver and value of the evaluated function sys.exec_info,","response = self . handle_uncaught_exception ( request , resolver , sys . exc_info ( ) )"
"as the arguments, substitute the result for response. append the request to the end of the protected class member response._closable_objects.",response . _closable_objects . append ( request )
return response.,return response
"define the method handle_uncaught_exception with self class instance, request, resolver and exec_info as arguments.","def handle_uncaught_exception ( self , request , resolver , exc_info ) :"
"if settings.DEBUG_PROPAGATE_EXCEPTIONS is True,",if settings . DEBUG_PROPAGATE_EXCEPTIONS :
raise an exception.,raise
"substitute '%s' in 'Internal Server Error: %s' with request.path, exc_info set to exc_info,","logger . error ( 'Internal Server Error: %s' , request . path , exc_info = exc_info , extra = { 'status_code' : 500 , 'request' : request } )"
"extra is an dictionary with two pairs of elements 'status_code' with value 500, and 'request with value request, respectively use the previous as the arguments for the call to the logger.error function. if settings.DEBUG is True,",if settings . DEBUG :
"evaluate debug.technical_500_response with request and list of arguments exec_info, return the result.","return debug . technical_500_response ( request , * exc_info )"
if resolver.urlconf_module is None:,if resolver . urlconf_module is None :
"call the function reraise from the module six, with list of arguments exec_info.",six . reraise ( * exc_info )
"call the resolver.resolve_error_handler with integer 500 as the argument, assign the resulting tuple elements to the callback,","callback , param_dict = resolver . resolve_error_handler ( 500 )"
"and param_dict, respectively. evaluate the function callback with request and dictionary of parameters param_dict as the arguments, return the result.","return callback ( request , ** param_dict )"
"define the method apply_response_fixes with self class instance, request and response as the arguments.","def apply_response_fixes ( self , request , response ) :"
"for every func in self.response_fixes,",for func in self . response_fixes :
"call the function func with request and response as arguments, assign the result to response.","response = func ( request , response )"
return response.,return response
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
import module cgi.,import cgi
import module codecs.,import codecs
import module logging.,import logging
import module sys.,import sys
from io import BytesIO into default name space.,from io import BytesIO
from threading import Lock into default name space.,from threading import Lock
import module warnings.,import warnings
from django import http into default name space.,from django import http
from django.conf import settings into default name space.,from django . conf import settings
from django.core import signals into default name space.,from django . core import signals
from django.core.handlers import base into default name space.,from django . core . handlers import base
from django.core.urlresolvers import set_script_prefix into default name space.,from django . core . urlresolvers import set_script_prefix
from django.utils import datastructures into default name space.,from django . utils import datastructures
from django.utils.deprecation import RemovedInDjango19Warning into default name space.,from django . utils . deprecation import RemovedInDjango19Warning
from django.utils.encoding import force_str and force_text into default name space.,"from django . utils . encoding import force_str , force_text"
from django.utils.functional import cached_property into default name space.,from django . utils . functional import cached_property
from django.utils import six into default name space.,from django . utils import six
from django.http.response import REASON_PHRASES as STATUS_CODE_TEXT # NOQA into default name space.,from django . http . response import REASON_PHRASES as STATUS_CODE_TEXT
"call logging.getLogger method with string 'django.request' as argument, store the result in logger.",logger = logging . getLogger ( 'django.request' )
"ISO_8859_1 is a string 'iso-8859-1', UTF_8 is a string 'utf-8'.","ISO_8859_1 , UTF_8 = str ( 'iso-8859-1' ) , str ( 'utf-8' )"
"derive class LimitedStream from the object base class, making it a new-style class.",class LimitedStream ( object ) :
"def initialization method __init__ with self class instance, stream, limit and buf_size set to integer value of the product 64*1024*1024.","def __init__ ( self , stream , limit , buf_size = 64 * 1024 * 1024 ) :"
substitute stream for self.stream.,self . stream = stream
substitute limit for self.remaining.,self . remaining = limit
substitute empty bytes string for self.buffer.,self . buffer = b''
substitute buf_size for self.buf_size.,self . buf_size = buf_size
define the method _read_limited with self class instance and size set to None as arguments.,"def _read_limited ( self , size = None ) :"
"if size is None or size is greater than self.remaining,",if size is None or size > self . remaining :
substitute self.remaining for size.,size = self . remaining
if size equals to integer zero.,if size == 0 :
return empty bytes string.,return b''
"read size number of bytes from self.stream stream, store the result in the result.",result = self . stream . read ( size )
decrement self.remaining by length of result.,self . remaining -= len ( result )
return result.,return result
define the method read with self class instance and size set to None as arguments.,"def read ( self , size = None ) :"
"if size is None,",if size is None :
"add self.buffer and self._read_limited method return value together, store it in result.",result = self . buffer + self . _read_limited ( )
substitute empty bytes string for self.buffer.,self . buffer = b''
"otherwise if size is less than length of self.buffer,",elif size < len ( self . buffer ) :
substitute first size elements of self.buffer for result.,result = self . buffer [ : size ]
truncate first size number of elements of self.buffer.,self . buffer = self . buffer [ size : ]
"if not,",else :
"call the method self.read_limited with length of self.buffer subtracted from size as argument, add result to self.buffer, store it in result.",result = self . buffer + self . _read_limited ( size - len ( self . buffer ) )
substitute empty bytes string for self.buffer.,self . buffer = b''
return result.,return result
define method readline with self class instance and size set to None.,"def readline ( self , size = None ) :"
"while newline character is not contained in self.buffer and, size is None or length of self.buffer is less than size,",while b'\n' not in self . buffer and ( size is None or len ( self . buffer ) < size ) :
"if size is not zero,",if size :
"call the self._read_limiter with length of self.buffer subtracted from size as argument, store the result into chunk.",chunk = self . _read_limited ( size - len ( self . buffer ) )
"if not,",else :
"call the method self._read_limited, store the return value into chunk.",chunk = self . _read_limited ( )
"if chunk is empty,",if not chunk :
break the execution of the smallest enclosing loop.,break
increment self.buffer by chunk.,self . buffer += chunk
"call the function BytesIO with self.buffer as argument, store the result is sio.",sio = BytesIO ( self . buffer )
"if size is not empty,",if size :
"call the sio.readline method with size as an argument, substitute the result for line.",line = sio . readline ( size )
"if not,",else :
"call the sio.readline method, substitute the result for line.",line = sio . readline ( )
"call the sio.read method, substitute the result for self.buffer.",self . buffer = sio . read ( )
return line.,return line
derive the class WSGIRequest from base class http.HttpRequest.,class WSGIRequest ( http . HttpRequest ) :
define the initialization method __init__ with self class instance and environ as arguments.,"def __init__ ( self , environ ) :"
"call the get_script_name function with environ as argument, substitute the result for script_name.",script_name = get_script_name ( environ )
"call the get_path_info function with environ as argument, substitute the result for path_info.",path_info = get_path_info ( environ )
"if path_info is empty,",if not path_info :
path_info is a character '/'.,path_info = '/'
substitute environ for self.environ.,self . environ = environ
substitute path_info for self.path_info.,self . path_info = path_info
"strip trailing '/' from the script_name string, remove first occurrence of '/' in path_info string, append second result to the first, separated with '/', assign the result to self.path.","self . path = '%s/%s' % ( script_name . rstrip ( '/' ) , path_info . replace ( '/' , '' , 1 ) )"
substitute environ for self.META.,self . META = environ
assign path_info to the value under the 'PATH_INFO' key of the self.META dictionary.,self . META [ 'PATH_INFO' ] = path_info
assign script_name to the value under the 'SCRIP_NAME' key of the self.META dictionary.,self . META [ 'SCRIPT_NAME' ] = script_name
"convert value under the 'REQUEST_METHOD' key of the environ dictionary to uppercase, substitute it for self.method.",self . method = environ [ 'REQUEST_METHOD' ] . upper ( )
"get the value under the 'CONTENT_TYPE' key of environ dictionary, if the key doesnt exist get the empty string,","_ , content_params = cgi . parse_header ( environ . get ( 'CONTENT_TYPE' , '' ) )"
"use it to call the cgi.parse_header method, assign the result to the _ and content_params respectively. if string 'charset' is contained in content_params,",if 'charset' in content_params :
"try,",try :
"get the value under the 'charset' key of content_params dictionary, use it to call the codec.lookup method.",codecs . lookup ( content_params [ 'charset' ] )
"if exception LookupError is caught,",except LookupError :
do nothing.,pass
"if not,",else :
"get the value under the 'charset' key of content_params dictionary, substitute it for self.encoding.",self . encoding = content_params [ 'charset' ]
self._post_parse_error is boolean False.,self . _post_parse_error = False
"try,",try :
"convert value under the 'CONTENT_LENGTH' key of the environ dictionary to an integer, substitute it for content_length.",content_length = int ( environ . get ( 'CONTENT_LENGTH' ) )
"if exception ValueError or TypeError is caught,","except ( ValueError , TypeError ) :"
content_length is integer 0.,content_length = 0
"self._stream is a class instance of a LimitedStream class, initialized with self.environ dictionary value under the 'wsgi.input' key,","self . _stream = LimitedStream ( self . environ [ 'wsgi.input' ] , content_length )"
and content_length. self._read_started is boolean False.,self . _read_started = False
self.resolver_match is None.,self . resolver_match = None
define the method _get_scheme with self class instance as argument.,def _get_scheme ( self ) :
return value under the 'wsgi.url_scheme' key of self.environ dictionary.,return self . environ . get ( 'wsgi.url_scheme' )
define the method _get_request with self class instance as argument.,def _get_request ( self ) :
"call the warnings.warn method with string '`request.REQUEST` is deprecated, use `request.GET` or `request.POST` instead.',","warnings . warn ( '`request.REQUEST` is deprecated, use `request.GET` or ' '`request.POST` instead.' , RemovedInDjango19Warning , 2 )"
"RemovedInDjango19Warning and integer 2 as arguments. if self does not have an '_request' attribute,","if not hasattr ( self , '_request' ) :"
"call the datastructures.MergeDict with self.POST and self.GET as arguments, assign the result to self._request.","self . _request = datastructures . MergeDict ( self . POST , self . GET )"
return self._request.,return self . _request
decorator cached_property.,@ cached_property
define method GET with self class instance as an argument.,def GET ( self ) :
"call the get_bytes_from_wsgi function with self.environ, string 'QUERY_STRING' and empty string as arguments, substitute the return value for raw_query_string.","raw_query_string = get_bytes_from_wsgi ( self . environ , 'QUERY_STRING' , '' )"
"evaluate the http.QueryDict method with raw_query_string and encoding set to self._encoding as arguments, return the result.","return http . QueryDict ( raw_query_string , encoding = self . _encoding )"
def _get_post method with self class instance as the argument.,def _get_post ( self ) :
if self does not has an '_post' attribute.,"if not hasattr ( self , '_post' ) :"
call the self._load_post_and_files method.,self . _load_post_and_files ( )
return self._post.,return self . _post
define the _set_post method with self class instance and post as the arguments.,"def _set_post ( self , post ) :"
substitute post for self._post.,self . _post = post
decorator cached_property.,@ cached_property
define COOKIES method with self as the argument.,def COOKIES ( self ) :
"call get_str_from_wsgi function with self.environ, string 'HTTP_COOKIE' and empty string as arguments, substitute it for raw_cookie.","raw_cookie = get_str_from_wsgi ( self . environ , 'HTTP_COOKIE' , '' )"
"evaluate the function http.parse_cookie with raw_cookie as an argument, return the result.",return http . parse_cookie ( raw_cookie )
define _get_files method with self class instance as the argument.,def _get_files ( self ) :
"if self does not have '_files' attribute,","if not hasattr ( self , '_files' ) :"
call the method self._load_post_and_files.,self . _load_post_and_files ( )
return self._files.,return self . _files
_get_post is a getter function and _set_post is a setter function for POST attribute of this class.,"POST = property ( _get_post , _set_post )"
_get_files is getter function for FILES attribute of this class.,FILES = property ( _get_files )
_get_request is getter function for REQUEST attribute of this class.,REQUEST = property ( _get_request )
derive the WSGIHandler class from the base class base.BaseHandler.,class WSGIHandler ( base . BaseHandler ) :
evaluate function Lock() assign the result to initLock.,initLock = Lock ( )
substitute WSGIRequest for request_class.,request_class = WSGIRequest
"define private method __call__ with self class instance, environ and start_response as the arguments.","def __call__ ( self , environ , start_response ) :"
"if self._request_middleware is None,",if self . _request_middleware is None :
"with self.initLock,",with self . initLock :
"try,",try :
"if self._request_middleware is None,",if self . _request_middleware is None :
call the self.load_middleware method.,self . load_middleware ( )
"if exception is caught,",except :
self._request_middleware is None.,self . _request_middleware = None
re raise an exception.,raise
"call the get_script_name function with environ as argument, use the result as an argument for call to the set_script_prefix function.",set_script_prefix ( get_script_name ( environ ) )
call the signals.request_started.send method with sender set to self.__class__ as argument.,signals . request_started . send ( sender = self . __class__ )
"try,",try :
"call the self.request_class method with environ as an argument, substitute the result for request.",request = self . request_class ( environ )
"if UnicodeDecodeError exception is caught,",except UnicodeDecodeError :
"call the logger.warning method with string 'Bad Request (UnicodeDecodeError)', exec_info set to sys.exec_info() and dictionary extra","logger . warning ( 'Bad Request (UnicodeDecodeError)' , exc_info = sys . exc_info ( ) , extra = { 'status_code' : 400 , } )"
"with one entry 'status_code' is integer 400, as arguments. call the http.HttpResponseBadRequest function, assign the result to the response.",response = http . HttpResponseBadRequest ( )
"if not,",else :
"call the self.get_response with request as the argument, substitute the result for response.",response = self . get_response ( request )
substitute self.__class__ for response._handler_class.,response . _handler_class = self . __class__
"replace '%s' in the string '%s %s' with response.status_code and response.reason_phrase, respectively, substitute it for status.","status = '%s %s' % ( response . status_code , response . reason_phrase )"
"convert to k and v to strings for every k and v in return value of the response.item method, response_headers is a list containing all the above iteration elements.","response_headers = [ ( str ( k ) , str ( v ) ) for k , v in response . items ( ) ]"
"for every c in return value of the method response.cookies.values,",for c in response . cookies . values ( ) :
"convert 'Set-Cookie' to a string and convert the return value of method c.output(header='') call to a string,","response_headers . append ( ( str ( 'Set-Cookie' ) , str ( c . output ( header = '' ) ) ) )"
"format the previous in a tuple, append the tuple to the response_headers. call the start_response function with force_str(status) method return value and response_headers as arguments.","start_response ( force_str ( status ) , response_headers )"
return response.,return response
define the get_path_info function with environ as the argument.,def get_path_info ( environ ) :
"call the function get_bytes_from_wsgi with environ, string 'PATH_INFO' and character '/' as arguments, substitute the result for path_info.","path_info = get_bytes_from_wsgi ( environ , 'PATH_INFO' , '/' )"
return path_info.decode method return value called with UTF_8 as the argument.,return path_info . decode ( UTF_8 )
define get_script_name function with environ as an argument.,def get_script_name ( environ ) :
"if settings.FORCE_SCRIPT_NAME is not None,",if settings . FORCE_SCRIPT_NAME is not None :
"evaluate the force_text function with settings.FORCE_SCRIPT_NAME as argument, return the result.",return force_text ( settings . FORCE_SCRIPT_NAME )
"call the get_bytes_from_wsgi function with environ, string 'SCRIPT_URL' and empty strings as arguments, substitute the result for script_url.","script_url = get_bytes_from_wsgi ( environ , 'SCRIPT_URL' , '' )"
"if script_url is false,",if not script_url :
"call the get_bytes_from_wsgi function with environ, string 'REDIRECT_URL' and empty strings as arguments, substitute the result for script_url.","script_url = get_bytes_from_wsgi ( environ , 'REDIRECT_URL' , '' )"
"if script_url is true,",if script_url :
"call the get_bytes_from_wsgi function with environ, string 'PATH_INFO' and empty strings as arguments, substitute the result for path_info.","path_info = get_bytes_from_wsgi ( environ , 'PATH_INFO' , '' )"
"take all but the length of path_info last elements of script_url, substitute it for script_name.",script_name = script_url [ : - len ( path_info ) ]
"if not,",else :
"call the get_bytes_from_wsgi function with environ, string 'SCRIPT_NAME' and empty strings as arguments, substitute the result for script_name.","script_name = get_bytes_from_wsgi ( environ , 'SCRIPT_NAME' , '' )"
return scrip_name.decode method result called with UTF_8 as argument.,return script_name . decode ( UTF_8 )
"define the function get_bytes_from_wsgi with environ, key and default as arguments.","def get_bytes_from_wsgi ( environ , key , default ) :"
"convert key and default to strings, get the value under the key string key of the environ dictionary, if it does not exists use the,","value = environ . get ( str ( key ) , str ( default ) )"
"default string value, substitute it for value. return value if six.PY2 is true, if not return value.encode(ISO_8859_1).",return value if six . PY2 else value . encode ( ISO_8859_1 )
"define the get_str_from_wsgi function with environ, key and default as arguments.","def get_str_from_wsgi ( environ , key , default ) :"
"convert key and default to strings, get the value under the key string key of the environ dictionary, if it does not exists use the,","value = environ . get ( str ( key ) , str ( default ) )"
"default string value, substitute it for value. return value if six.PY2 is true, if not return value.encode(ISO_8859_1).decode(UTF_8).",return value if six . PY2 else value . encode ( ISO_8859_1 ) . decode ( UTF_8 )
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
from django.conf import settings into default name space.,from django . conf import settings
from django.utils.module_loading import import_string into default name space.,from django . utils . module_loading import import_string
from django.core.mail.utils import CachedDnsName and DNS_NAME into default name space.,"from django . core . mail . utils import CachedDnsName , DNS_NAME"
"from django.core.mail.message import EmailMessage, EmailMultiAlternatives, SafeMIMEText, SafeMIMEMultipart,","from django . core . mail . message import ( EmailMessage , EmailMultiAlternatives , SafeMIMEText , SafeMIMEMultipart , DEFAULT_ATTACHMENT_MIME_TYPE , make_msgid , BadHeaderError , forbid_multi_line_headers )"
"DEFAULT_ATTACHMENT_MIME_TYPE, make_msgid, BadHeaderError and forbid_multi_line_headers into default name space. __all__ is a list of strings, 'CachedDnsName', 'DNS_NAME', 'EmailMessage', 'EmailMultiAlternatives', 'SafeMIMEText',","__all__ = [ 'CachedDnsName' , 'DNS_NAME' , 'EmailMessage' , 'EmailMultiAlternatives' , 'SafeMIMEText' , 'SafeMIMEMultipart' , 'DEFAULT_ATTACHMENT_MIME_TYPE' , 'make_msgid' , 'BadHeaderError' , 'forbid_multi_line_headers' , 'get_connection' , 'send_mail' , 'send_mass_mail' , 'mail_admins' , 'mail_managers' , ]"
"'SafeMIMEMultipart', 'DEFAULT_ATTACHMENT_MIME_TYPE', 'make_msgid', 'BadHeaderError', 'forbid_multi_line_headers', 'get_connection', 'send_mail', 'send_mass_mail', 'mail_admins' and 'mail_managers'. define function get_connection with backend set to None, fail_silently set to boolean False and dictionary kwds as arguments.","def get_connection ( backend = None , fail_silently = False , ** kwds ) :"
"call the function import_string with backend if exists or settings.EMAIL_BACKEND if not, store the result into klass.",klass = import_string ( backend or settings . EMAIL_BACKEND )
"call the klass method with fail_silently set to fail_silently and dictionary arguments kwds as arguments, return the result.","return klass ( fail_silently = fail_silently , ** kwds )"
"define send_mail funtion with subject, message, from_email, recipient_list, fail_silently set to boolean False,","def send_mail ( subject , message , from_email , recipient_list , fail_silently = False , auth_user = None , auth_password = None , connection = None , html_message = None ) :"
"if connection exists dont modify it, if not call get_connection function with username set to auth_user, password set to auth_password, fail_silently set to fail_silently as arguments, assign it to connection.","connection = connection or get_connection ( username = auth_user , password = auth_password , fail_silently = fail_silently )"
"call the EmailMultiAlternatives function with, subject, message, from_email, recipient_list and connection set to connection, as arguments, assign the result to mail.","mail = EmailMultiAlternatives ( subject , message , from_email , recipient_list , connection = connection )"
"if html_message is True,",if html_message :
call the mail.attach_alternative method with html_message and string 'text/html' as arguments.,"mail . attach_alternative ( html_message , 'text/html' )"
return the evaluated result of the mail.send method.,return mail . send ( )
"define the function send_mass_mail with, datatuple, fail_silently set to False, auth_user set to None, auth_password set to None,","def send_mass_mail ( datatuple , fail_silently = False , auth_user = None , auth_password = None , connection = None ) :"
"if connection exists dont change it, if not call the get_connection function with username set to auth_user,","connection = connection or get_connection ( username = auth_user , password = auth_password , fail_silently = fail_silently )"
