,nl,code
1301,define the method read with self class instance and size set to None as arguments.,"def read ( self , size = None ) :"
1302,otherwise if name equals a string 'id'.,elif name == 'id' :
1303,from django.apps import apps into default name space.,from django . apps import apps
1304,"substitute link for value under the NEXT key of the last dictionary, for value under the PREV key of the root dictionary,",last [ NEXT ] = root [ PREV ] = cache [ key ] = link
1305,define the function gettext with an argument message.,def gettext ( message ) :
1306,TOKEN_VAR is integer 1,TOKEN_VAR = 1
1307,"otherwise if self.reason_phrase is None,",elif self . reason_phrase is None :
1308,"call the method b64encoded.decode with string 'latin1' as argument, substitute the result for b64encoded.",b64encoded = b64encoded . decode ( 'latin1' )
1309,"split ip_str into parts by ':', if '.' is contained in the last element of the result,",if '.' in ip_str . split ( ':' ) [ - 1 ] :
1310,"call the function io.open with 3 arguments: potfile, string 'a' and encoding set to string 'utf-8' as arguments,","with io . open ( potfile , 'a' , encoding = 'utf-8' ) as fp :"
1311,d is an instance of Decimal class created with an argument input_val.,d = Decimal ( input_val )
1312,"try,",try :
1313,for every cache in return value of the function caches.all.,for cache in caches . all ( ) :
1314,call the method stream.unget with list containing elements of chunk list from the header_end incremented by integer 4 as a start index to the end as argument.,stream . unget ( chunk [ header_end + 4 : ] )
1315,"if shell is true substitute list with element shell for available_shells, if not substitute self.shells for available_shells.",available_shells = [ shell ] if shell else self . shells
1316,append template_dir to app_template_dirs.,app_template_dirs . append ( template_dir )
1317,from django.core.exceptions import ImproperlyConfigured and ViewDoesNotExist into default name space.,"from django . core . exceptions import ImproperlyConfigured , ViewDoesNotExist"
1318,"password set to auth_password, fail_silently set to fail_silently as arguments, assign the result to connection. call the EmailMessage function wit subject, message, sender, recipient and connection set to connection,","messages = [ EmailMessage ( subject , message , sender , recipient , connection = connection ) for subject , message , sender , recipient in datatuple ]"
1319,"if message is an instance of dict type,","if isinstance ( message , dict ) :"
1320,return self._upload_handlers.,return self . _upload_handlers
1321,substitute value for field.name key of self._current dictionary.,self . _current [ field . name ] = value
1322,"if response.streaming is boolean False,",if not response . streaming :
1323,"call the method parser.compile_filter with an argument first element of bits, substitute the result for target.",target = parser . compile_filter ( bits [ 1 ] )
1324,return all the results in a list. decorator function register.filter with an argument is_safe set to boolean True.,@ register . filter ( is_safe = True )
1325,"if not,",else :
1326,new_second_item is an empty list.,new_second_item = [ ]
1327,define the method IE_sanitize with arguments self and filename.,"def IE_sanitize ( self , filename ) :"
1328,"split into two parts string main_value_pair at character ':', substitute the parts for name and value, respectively.","name , value = main_value_pair . split ( ':' , 1 )"
1329,"try,",try :
1330,return None.,return None
1331,import module decimal.,import decimal
1332,"if i-th element of subject is '""' character or ""'"" character,","if subject [ i ] in ( '""' , ""'"" ) :"
1333,call method mail.attach_alternative as html_message and string 'text/hmtl' as arguments.,"mail . attach_alternative ( html_message , 'text/html' )"
1334,define the method __call__ with arguments self and value.,"def __call__ ( self , value ) :"
1335,"replace all the elements of the basedir list by its corresponding absolute directory path, only is that directory exists.",basedirs = [ os . path . abspath ( basedir ) for basedir in basedirs if os . path . isdir ( basedir ) ]
1336,return r.,return r
1337,current_len is equal to integer 0.,current_len = 0
1338,"help is a tuple containing a string ""Runs the command-line client for specified database, or the default database if none is provided."".","help = ( ""Runs the command-line client for specified database, or the "" ""default database if none is provided."" )"
1339,"call the method self.create_token with 2 arguments bit and in_tag, append the result to result.","result . append ( self . create_token ( bit , in_tag ) )"
1340,"try,",try :
1341,define the method __getstate__ with an argument self.,def __getstate__ ( self ) :
1342,substitute size for self.size.,self . size = size
1343,"call the method handler.addQuickElement with 2 arguments: string 'lastBuildDate' and result of the function rfc2822_date,","handler . addQuickElement ( ""lastBuildDate"" , rfc2822_date ( self . latest_post_date ( ) ) )"
1344,"where '%s' is replaced with opts.object_name and fail_message, respectively. define the function save_m2m.",def save_m2m ( ) :
1345,"call the method match.groupdict, substitute the result for kw.",kw = match . groupdict ( )
1346,"substitute the '%s' with table and list containing key, respectively. fetch one entry from the database that cursor points at, substitute it for the result.",result = cursor . fetchone ( )
1347,define the method sign with arguments self and value.,"def sign ( self , value ) :"
1348,"help is a string ""Squashes an existing set of migrations (from first until specified) into a single new one."".","help = ""Squashes an existing set of migrations (from first until specified) into a single new one."""
1349,substitute self.fk.name for name.,name = self . fk . name
1350,"if _serializers is false,",if not _serializers :
1351,do nothing.,pass
1352,call the function _load_serializers.,_load_serializers ( )
1353,"call the function middleware_method with the request and response as the arguments, assign the result to response.","response = middleware_method ( request , response )"
1354,"call the function get_format with an argument string 'DATE_INPUT_FORMATS', substitute the first element of the result for input_format.",input_format = get_format ( 'DATE_INPUT_FORMATS' ) [ 0 ]
1355,streaming is boolean True.,streaming = True
1356,self._files is an instance of class MultiValueDict. define the method close with an argument self.,def close ( self ) :
1357,import module sys.,import sys
1358,"call the method handler.addQuickElement with 3 arguments: string 'link', an empty string and a dictionary with 2 entries:","handler . addQuickElement ( ""link"" , """" , { ""rel"" : ""self"" , ""href"" : self . feed [ 'feed_url' ] } )"
1359,inplural is boolean True.,inplural = True
1360,"if self.data.hour equals integer 0,",if self . data . hour == 0 :
1361,"if filename ends with string '.mo',",if filename . endswith ( '.mo' ) :
1362,define the method handle with 3 arguments: self and unpacked dictionary options.,"def handle ( self , ** options ) :"
1363,"raise an CommandError exception with an argument string ""%r is not a valid port number."", where '%r' is repaced with self.port.","raise CommandError ( ""%r is not a valid port number."" % self . port )"
1364,"split settings.SETTINGS_MODULE by '.' character, substitute the first element of the result for project_name.",project_name = settings . SETTINGS_MODULE . split ( '.' ) [ 0 ]
1365,derive the class HttpResponseBase from the six.Iterator base class.,class HttpResponseBase ( six . Iterator ) :
1366,import module warnings.,import warnings
1367,"get the value under the key 'exclude' of the options dictionary, substitute it for exclude.",exclude = options . get ( 'exclude' )
1368,"call the method self.render_option with 3 arguments: selected_choices, option_value and option_label, append the result to output.","output . append ( self . render_option ( selected_choices , option_value , option_label ) )"
1369,"call the encode function on the Header class instance, created with arguments nm and encoding, substitute the result for nm.","nm = Header ( nm , encoding ) . encode ( )"
1370,define the function _generator.,def _generator ( ) :
1371,"if self.fail_silently is boolean False,",if not self . fail_silently :
1372,"if key is not contained in self,",if key not in self :
1373,"try,",try :
1374,"define the method __init__ with arguments self, input_formats set to None, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , input_formats = None , * args , ** kwargs ) :"
1375,derive the class MergeDict from the object base class.,class MergeDict ( object ) :
1376,from django.template.base import TemplateDoesNotExist into default name space.,from django . template . base import TemplateDoesNotExist
1377,"write string "" Installing indexes...\n"" to the standard output.","self . stdout . write ( "" Installing indexes...\n"" )"
1378,import module time.,import time
1379,"call the method self.nodelist.render with an argument context, return the result.",return self . nodelist . render ( context )
1380,"get the value under the 'exclude' key of the options dictionary, substitute the result for exclude.",excludes = options . get ( 'exclude' )
1381,"call the method handler.addQuickElement with 2 arguments: string 'published' and result of the function rfc3339_date,","handler . addQuickElement ( 'published' , rfc3339_date ( item [ 'pubdate' ] ) )"
1382,"if query_string is an instance of bytes,","if isinstance ( query_string , bytes ) :"
1383,status_code is an integer 200.,status_code = 200
1384,call the add_arguments method from the base class of the class Command with parser as an argument.,"super ( Command , self ) . add_arguments ( parser )"
1385,from django.db.migrations import Migration into default name space.,from django . db . migrations import Migration
1386,output_transaction is boolean True.,output_transaction = True
1387,self.error_class is a string 'errorlist'.,self . error_class = 'errorlist'
1388,"slice the list from the i-th to the endpos-th element, substitute it for self.__starttag_text.",self . __starttag_text = rawdata [ i : endpos ]
1389,"call the method self.as_ul, return the result.",return self . as_ul ( )
1390,substitute first size elements of self.buffer for result.,result = self . buffer [ : size ]
1391,"call the resolver.resolve_error_handler with integer 500 as the argument, assign the resulting tuple elements to the callback,","callback , param_dict = resolver . resolve_error_handler ( 500 )"
1392,"call the method m.end with an argument integer 0, substitute the result for pos.",pos = m . end ( 0 )
1393,"define the method handle_m2m_field with argument self, obj and field.","def handle_m2m_field ( self , obj , field ) :"
1394,"return an empty string,",return ''
1395,remove first 2 and last 2 elements from var.,var = var [ 2 : - 1 ]
1396,"call the method one_percent_re.sub with 2 arguments: string '%%' and t.contents, substitute the result for contents.","contents = one_percent_re . sub ( '%%' , t . contents )"
1397,settings.USE_I18N is boolean True.,settings . USE_I18N = True
1398,"and help set to string 'One or more application label.'. define the method handle with 3 arguments: self, unpacked list app_labels and unpacked dictionary options.","def handle ( self , * app_labels , ** options ) :"
1399,"if field_value is an instance of the str type,","if isinstance ( field_value , str ) :"
1400,write data bytes to outfile.,outfile . write ( data )
1401,call the method command.stdout.write with an argument errors.,command . stdout . write ( errors )
1402,"default set to boolean True and help set to string 'Tells Django to NOT prompt the user for input of any kind.'. call the parser.add_argument with string '--addrport', default set to an empty string and help as string 'Port number or ipaddr:port to run the server on.'.","parser . add_argument ( '--addrport' , default = '' , help = 'Port number or ipaddr:port to run the server on.' )"
1403,insert token at the beginning of self.tokens.,"self . tokens . insert ( 0 , token )"
1404,from django.core.management import call_command into default name space.,from django . core . management import call_command
1405,if data is an instance of bytes.,"if isinstance ( data , bytes ) :"
1406,"decorator stringfilter,",@ stringfilter
1407,"get the position of the file self.file pointer, substitute it for size.",size = self . file . tell ( )
1408,"if app_config.models_module is None,",if app_config . models_module is None :
1409,"if error has an attribute 'error_dict',","if hasattr ( error , 'error_dict' ) :"
1410,"name is a string ""_%d"" formated with num_args.","name = ""_%d"" % num_args"
1411,"get the value under the name key of the data dictionary, if it exists substitute it for value, if not, value is None.","value = data . get ( name , None )"
1412,"define the method load_template_source with 3 arguments: self, template_name and template_dirs set to None.","def load_template_source ( self , template_name , template_dirs = None ) :"
1413,"get _iterkeys attribute of the class d, call the result with an argument unpacked dictionary kw, convert the result to a iterable,","return iter ( getattr ( d , _iterkeys ) ( ** kw ) )"
1414,define the method __repr__ with argument self.,def __repr__ ( self ) :
1415,substitute _iterkeys for __iter__.,__iter__ = _iterkeys
1416,"from django.core.urlresolvers import reverse, NoReverseMatch.","from django . core . urlresolvers import reverse , NoReverseMatch"
1417,return self._errors.,return self . _errors
1418,define the method _get_name with argument self.,def _get_name ( self ) :
1419,"call the function datetime.utcnow, substitute the result for now.",now = datetime . utcnow ( )
1420,value under the self.var_name key of the context dictionary is an list with dictionary elements with 2 entries:,"context [ self . var_name ] = [ { 'grouper' : key , 'list' : list ( val ) } for key , val in groupby ( obj_list , lambda obj : self . resolve_expression ( obj , context ) ) ]"
1421,"call the function force_text with an argument message, return the result.",result = force_text ( message )
1422,"if register_to is true,",if register_to :
1423,"msgid is a string '<%s.%s.%s%s@%s>', replace '%s' with utcdate, pid, randint, idstring and idhost, respectively.","msgid = '<%s.%s.%s%s@%s>' % ( utcdate , pid , randint , idstring , idhost )"
1424,return the value under the language_code key of the self._reverse_dict dictionary.,return self . _reverse_dict [ language_code ]
1425,"if exception LookupError is caught,",except LookupError :
1426,"get format_type attribute of module object, substitute the result for val.","val = getattr ( module , format_type )"
1427,"if not,",else :
1428,"if not,",else :
1429,"if self.verbosity is greater or equal to integer 1,",if self . verbosity >= 1 :
1430,"call the method as_tuple on the result, substitute the result for sign, digits and exponent, respectively. append result of method six.text_type called with an argument digit to an list, for every digit in reversed order of digits,",digits = [ six . text_type ( digit ) for digit in reversed ( digits ) ]
1431,"call the method self.make_view_atomic with callback as the argument, substitute the result for the wrapped_callback.",wrapped_callback = self . make_view_atomic ( callback )
1432,return guessed_path.,return guessed_path
1433,truncate the last element of filename.,filename = filename [ : - 1 ]
1434,"if not,",else :
1435,define the method clean with arguments self and value.,"def clean ( self , value ) :"
1436,"call the method __init__ from the base class of the class SimpleTemplateResponse, return the result.","return super ( SimpleTemplateResponse , self ) . __iter__ ( )"
1437,"try,",try :
1438,"if value is None,",if value is None :
1439,"if self.required is true,",if self . required :
1440,do nothing.,pass
1441,"try,",try :
1442,"call the function translation with an argument settings.LANGUAGE_CODE, substitute the result for default_translation.",default_translation = translation ( settings . LANGUAGE_CODE )
1443,"call the method self.sequence.resolve with 2 arguments: context and boolean True, substitute the result for values.","values = self . sequence . resolve ( context , True )"
1444,"if first element of sys.version_info equals integer 2, PY2 is boolean True, otherwise it is boolean False.",PY2 = sys . version_info [ 0 ] == 2
1445,define the method as_json with 2 arguments self and escape_html set to boolean False.,"def as_json ( self , escape_html = False ) :"
1446,"raise an ImproperlyConfigured exception wiht an argument string 'Command %s defines both ""requires_model_validation"" '","raise ImproperlyConfigured ( 'Command %s defines both ""requires_model_validation"" ' 'and ""requires_system_checks"", which is illegal. Use only ' '""requires_system_checks"".' % self . __class__ . __name__ )"
1447,"call the method m.groupdict, substitute the result for d.",d = m . groupdict ( )
1448,"if six.PY2 is boolean True,",if six . PY2 :
1449,define the function get_script_prefix.,def get_script_prefix ( ) :
1450,"try,",try :
1451,from django.utils import six into default name space.,from django . utils import six
1452,substitute second element of bits without the first and last element for format_string.,format_string = bits [ 1 ] [ 1 : - 1 ]
1453,"replace ""%s"" from the string ' class=""%s""' with css_classes, substitute it for html_class_attr.","html_class_attr = ' class=""%s""' % css_classes"
1454,"call the method self.stdout.write with an argument string ""Installed %d object(s) (of %d) from %d fixture(s)"",","self . stdout . write ( ""Installed %d object(s) (of %d) from %d fixture(s)"" % ( self . loaded_object_count , self . fixture_object_count , self . fixture_count ) )"
1455,substitute i-th element of self.forms for form.,form = self . forms [ i ]
1456,call the function _load_serializers.,_load_serializers ( )
1457,"get value under the 'register_to' key of the kwargs dictionary, substitute it for register_to.",register_to = kwargs . get ( 'register_to' )
1458,"define the method get with 3 arguments: self, header and alternate set to None.","def get ( self , header , alternate = None ) :"
1459,from django.utils.encoding import python_2_unicode_compatible into default name space.,from django . utils . encoding import python_2_unicode_compatible
1460,define the method __repr__ with an argument self.,def __repr__ ( self ) :
1461,"do nothing,",pass
1462,"if year is lesser than integer 70,",if year < 70 :
1463,define the method _send with arguments self and email_message.,"def _send ( self , email_message ) :"
1464,"if self.field.label_suffix is not None, substitute self.field.label_suffix for label_suffix,",label_suffix = ( self . field . label_suffix if self . field . label_suffix is not None else self . form . label_suffix )
1465,"call the self._lock.writer method, with the result perform the following,",with self . _lock . writer ( ) :
1466,"flat is an empty dictionary,",flat = { }
1467,"DEFAULT_ATTACHMENT_MIME_TYPE, make_msgid, BadHeaderError and forbid_multi_line_headers into default name space. __all__ is a list of strings, 'CachedDnsName', 'DNS_NAME', 'EmailMessage', 'EmailMultiAlternatives', 'SafeMIMEText',","__all__ = [ 'CachedDnsName' , 'DNS_NAME' , 'EmailMessage' , 'EmailMultiAlternatives' , 'SafeMIMEText' , 'SafeMIMEMultipart' , 'DEFAULT_ATTACHMENT_MIME_TYPE' , 'make_msgid' , 'BadHeaderError' , 'forbid_multi_line_headers' , 'get_connection' , 'send_mail' , 'send_mass_mail' , 'mail_admins' , 'mail_managers' , ]"
1468,define the function do_if with 2 arguments: parser and token.,"def do_if ( parser , token ) :"
1469,"if headers exists substitute it for self.extra_headers, if not extra_headers is an empty dictionary.",self . extra_headers = headers or { }
1470,"for every key_value in natural,",for key_value in natural :
1471,"description is a string ""The '%s' function"" replaced by value of receiver.__name__.","description = ""The '%s' function"" % receiver . __name__"
1472,"get the value under the 'keep_pot' key of the options dictionary, substitute it for self.keep_pot.",self . keep_pot = options . get ( 'keep_pot' )
1473,from django.db import connections and DEFAULT_DB_ALIAS into default name space.,"from django . db import connections , DEFAULT_DB_ALIAS"
1474,parser._namedCycleNodes is an empty dictionary.,parser . _namedCycleNodes = { }
1475,"if 'date' is not in header_names,",if 'date' not in header_names :
1476,from django.utils.encoding import force_text into default name space.,from django . utils . encoding import force_text
1477,define the function center with 2 arguments value and arg.,"def center ( value , arg ) :"
1478,"if bad_app_labels is true,",if bad_app_labels :
1479,define the method __getitem__ with an argument self.,"def __getitem__ ( self , i ) :"
1480,import module calendar.,import calendar
1481,"otherwise if value is an instance of datetime.time,","elif isinstance ( value , datetime . time ) :"
1482,"call the function datetime_safe.new_datetime with an argument date, substitute the result for date.",date = datetime_safe . new_datetime ( date )
1483,call the method logger.removeHandler with an argument h.,logger . removeHandler ( h )
1484,import module warnings.,import warnings
1485,object_data is an empty dictionary.,object_data = { }
1486,substitute self.files for value under the 'files' key of the defaults dictionary.,defaults [ 'files' ] = self . files
1487,"decorator stringfilter,",@ stringfilter
1488,from django.core.management.base import AppCommand into default name space.,from django . core . management . base import AppCommand
1489,"for every handler in handlers,",for handler in handlers :
1490,call the method parser.add_argument with 2 arguments: string 'name' and help set to string 'Name of the application or project.'.,"parser . add_argument ( 'name' , help = 'Name of the application or project.' )"
1491,return attachment.,return attachment
1492,"filter all the subcommands element through the lambda function with an argument x, that evaluates the method x.startswith,","print ( ' ' . join ( sorted ( filter ( lambda x : x . startswith ( curr ) , subcommands ) ) ) )"
1493,derive the class WSGIRequestHandler from simple_server.WSGIRequestHandler and object base classes.,"class WSGIRequestHandler ( simple_server . WSGIRequestHandler , object ) :"
1494,call the function os.unlink with an argument work_file.,os . unlink ( work_file )
1495,if ending is None substitute self.ending for ending.,ending = self . ending if ending is None else ending
1496,"define the method __init__ with 10 arguments: self, subject set to an empty string, body set to an empty string,","def __init__ ( self , subject = '' , body = '' , from_email = None , to = None , bcc = None , connection = None , attachments = None , headers = None , cc = None ) :"
1497,do nothing.,pass
1498,"if not,",else :
1499,from django.core.exceptions import ValidationError into default name space.,from django . core . exceptions import ValidationError
1500,return self._fqdn.,return self . _fqdn
1501,return the length of self.children.,return len ( self . children )
1502,"from django.utils.text import Truncator, wrap and phone2numeric into default name space.","from django . utils . text import Truncator , wrap , phone2numeric"
1503,from django.db import models into default name space.,from django . db import models
1504,"if ImportError exception is caught,",except ImportError :
1505,params is a dictionary with 2 initial entries: self.limit_value for 'limit_value' and cleaned for 'show_value'.,"params = { 'limit_value' : self . limit_value , 'show_value' : cleaned }"
1506,"try,",try :
1507,help is a string 'Runs a development server with data from the given fixture(s).'.,help = 'Runs a development server with data from the given fixture(s).'
1508,"if SystemExit exception is caught,",except SystemExit :
1509,"call the function lazy with 2 arguments: lambda function with unpacked dictionary kwargs as an argument and return value an instance of NumberAwareString class and NumberAwareString, call the result with an argument unpacked dictionary kwargs, substitute the result for proxy.","proxy = lazy ( lambda ** kwargs : NumberAwareString ( ) , NumberAwareString ) ( ** kwargs )"
1510,"if not,",else :
1511,"return lambda function with text as argument and return value being result of the function colorize, called with 3 arguments: text,","return lambda text : colorize ( text , opts , ** kwargs )"
1512,"define the function modelform_factory with 10 arguments: model, form set to ModelForm, fields set to None, exclude set to None,","def modelform_factory ( model , form = ModelForm , fields = None , exclude = None , formfield_callback = None , widgets = None , localized_fields = None , labels = None , help_texts = None , error_messages = None ) :"
1513,yield string 'day' as an return value of the generator.,yield 'day'
1514,"'alternate' for 'rel' and value under the 'link' key of self.feed dictionary for 'href'. if value under the 'feed_url' key of the self.feed dictionary is not None,",if self . feed [ 'feed_url' ] is not None :
1515,"if middleware has an attribute 'process_response',","if hasattr ( middleware , 'process_template_response' ) :"
1516,"if i is greater than, or equal to subject,",if i >= len ( subject ) :
1517,supported is boolean True.,supported = True
1518,"raise a TypeError exception,",raise TypeError
1519,"decorator is an instance of class Node, created with 2 arguments: instance of Leaf class created with 2 arguments: token.AT and ""@',","decorator = Node ( syms . decorator , [ Leaf ( token . AT , ""@"" ) , Name ( 'python_2_unicode_compatible' ) ] )"
1520,plural is an empty list.,plural = [ ]
1521,break from the smallest enclosing loop execution.,break
1522,define the method close with an argument self.,def close ( self ) :
1523,can_import_settings is boolean False.,can_import_settings = False
1524,"if id_ is true,",if id_ :
1525,"bring integer 36 to the power of factor, substitute the result for j.",j = 36 ** factor
1526,return raw_data.,return raw_data
1527,return get_git_changeset.cache.,return get_git_changeset . cache
1528,"convert new_name to a string and append string 'field' to it, substitute the result for new_name.",new_name = '%sfield' % new_name
1529,"get the value under the state key of the regexes dictionary, call the method finditer on the result with 2 arguments: text and start,","for match in regexes [ state ] . finditer ( text , start ) :"
1530,"if not,",else :
1531,"try,",try :
1532,bits is an empty list.,bits = [ ]
1533,import module io.,import io
1534,"calculate length of chunk modulo integer 4, substitute the result for over_bytes.",over_bytes = len ( chunk ) % 4
1535,"define the method getlist with 3 arguments: self, key and default set to None.","def getlist ( self , key , default = None ) :"
1536,"for every d in reversed list self.dicts,",for d in reversed ( self . dicts ) :
1537,"get self.to_field attribute of self.parent_instance, substitute it for orig.","orig = getattr ( self . parent_instance , self . to_field )"
1538,"define the method receive_data_chunk with arguments: self, raw_data and start.","def receive_data_chunk ( self , raw_data , start ) :"
1539,cal the method self.startElement with 2 arguments: name and attrs.,"self . startElement ( name , attrs )"
1540,do nothing.,pass
1541,"raise an ValueError with an argument string ""The %s could not be %s because the data didn't validate."",","raise ValueError ( ""The %s could not be %s because the data didn't"" "" validate."" % ( opts . object_name , fail_message ) )"
1542,"if record.exc_info is true,",if record . exc_info :
1543,substitute complain for remove.,remove = complain
1544,"for every key and value in data.items function return value,","for key , value in data . items ( ) :"
1545,"call the method formats.sanitize_separators with an argument value, substitute the result for value.",value = formats . sanitize_separators ( value )
1546,"if _time.daylight is true,",if _time . daylight :
1547,if encoding equals to string 'utf-8'.,if encoding == 'utf-8' :
1548,args is an empty tuple.,args = ( )
1549,"call the method time.localtime with an argument stamp, substitute the result for tt.",tt = time . localtime ( stamp )
1550,"call the function dropwhile with 2 arguments: function len and msgs spit into parts at newlines, join the result into a string,","msgs = '\n' . join ( dropwhile ( len , msgs . split ( '\n' ) ) )"
1551,"if year is lesser than integer 100,",if year < 100 :
1552,_format_cache is an empty dictionary.,_format_cache = { }
1553,"for every i and row in enumerated result of the method connection.introspection.get_table_description called with arguments: cursor and table_name,","for i , row in enumerate ( connection . introspection . get_table_description ( cursor , table_name ) ) :"
1554,"call the method arg.resolve with an argument context, append the result to arg_vals.",arg_vals . append ( arg . resolve ( context ) )
1555,"convert number to string, if first element equals to sign,",if str ( number ) [ 0 ] == sign :
1556,from django.utils.text import normalize_newlines into default name space.,from django . utils . text import normalize_newlines
1557,do nothing.,pass
1558,"if not,",else :
1559,cache_key is a tuple with 2 argumetns: format_type and lang.,"cache_key = ( format_type , lang )"
1560,substitute value for self.value.,self . value = value
1561,"if header list is not None,",if headerlist is not None :
1562,biggest_number is integer 1.,biggest_number = 1
1563,define the method __bool__ with argument self.,def __bool__ ( self ) :
1564,"substitute the value under the 'HTTP_HOST' key of the self.META dictionary, substitute it for host.",host = self . META [ 'HTTP_HOST' ]
1565,"with all occurrences of '%s' replaced with app_name and model._meta.object_name and e, respectively. if self.show_traceback is true,",if self . show_traceback :
1566,"if jan1_weekday is greater than integer 4,",if jan1_weekday > 4 :
1567,if self._cull_frequency equals to integer 0.,if self . _cull_frequency == 0 :
1568,derive the class RegroupNode from Node base class.,class RegroupNode ( Node ) :
1569,nodelist_false is an instance of NodeList class.,nodelist_false = NodeList ( )
1570,DEBUG is integer 10.,DEBUG = 10
1571,call the method deactivate.,deactivate ( )
1572,"candidate_pat formated with candidate_subs and re.UNICODE. candidate_subs is dictionary created from elements in return value of the function urlquote called with argument v,","candidate_subs = dict ( ( k , urlquote ( v ) ) for ( k , v ) in candidate_subs . items ( ) )"
1573,"with name of the class type of the middleware_method instance, use it as the argument for call to the ValueError exception raise. call the response.render() method and assign the return to the response.",response = response . render ( )
1574,substitute sup_cls.media for base.,base = sup_cls . media
1575,do nothing.,pass
1576,skip this loop iteration.,continue
1577,"call the method pretty_name with an argument name, substitute the result for self.label.",self . label = pretty_name ( name )
1578,return base and ext.,"return base , ext"
1579,"if email_messages is false,",if not email_messages :
1580,"if not,",else :
1581,import module sys.,import sys
1582,"and _allow_fallback set to boolean True, extend the output with the result. return output.",return output
1583,return nothing.,return
1584,"convert items of attrs dictionary to list of tuples, for every attr and value in it,","for attr , value in list ( attrs . items ( ) ) :"
1585,"try,",try :
1586,self.charset is None.,self . charset = None
1587,"substitute the value under the ns key of the resolver.namespace_dict dictionary for extra and resolver, respectively.","extra , resolver = resolver . namespace_dict [ ns ]"
1588,"call the method widget_attrs with an argument widget, from the base class of the class IntegerField, substitute it for attrs.","attrs = super ( IntegerField , self ) . widget_attrs ( widget )"
1589,"call the method time.mktime with an argument tt, substitute the result for stamp.",stamp = time . mktime ( tt )
1590,define the emethod parse with 2 arguments: self and parse_until set to None.,"def parse ( self , parse_until = None ) :"
1591,element of data at the index last equals to carriage return bytes character.,if data [ last : last + 1 ] == b'\r' :
1592,"where '%s' is replaced with filter_name. call the method parser.parse with an argument tuple with an element string 'endfilter', substitute the result for nodelist.","nodelist = parser . parse ( ( 'endfilter' , ) )"
1593,"substitute DEFAULT_MAX_NUM for max_num,",max_num = DEFAULT_MAX_NUM
1594,"call the method m.groups, substitute the first element of the result for idx.",idx = m . groups ( ) [ 0 ]
1595,"replace every occurrence of ""'"" in s with ""\\'"".","s = s . replace ( ""'"" , ""\\'"" )"
1596,"replace all the occurrences of character '_' in name with a whitespace, capitalize the first letter and return the result.","return name . replace ( '_' , ' ' ) . capitalize ( )"
1597,import module warnings.,import warnings
1598,import module os.,import os
1599,substitute cls.__text_cast for cls.__text_cast.,cls . __unicode__ = cls . __text_cast
1600,define the method __len__ with argument self.,def __len__ ( self ) :
1601,"call the method self.nodelist.render with an argument context, substitute the result for output.",output = self . nodelist . render ( context )
1602,"if not,",else :
1603,"call the method self.split_leading_dir with an argument path, assign the result to prefix and rest, respectively.","prefix , rest = self . split_leading_dir ( path )"
1604,"compile a regex from raw string '^\s*(\w+)\s*', substitute it for WORD_PATTERN.",WORD_PATTERN = re . compile ( r'^\s*(\w+)\s*' )
1605,define the function csrf with an argument request.,def csrf ( request ) :
1606,"define the method add_arguments, with 2 arguments self and parser.","def add_arguments ( self , parser ) :"
1607,substitute self.field.label for self.label.,self . label = self . field . label
1608,"call the method token.contents.split, substitute the result for bits.",bits = token . contents . split ( )
1609,"call the method self.make_key with key and version set to version as arguments, substitute it for key.","key = self . make_key ( key , version = version )"
1610,meta is a string '<could not parse>'.,meta = '<could not parse>'
1611,write msg to self.stderr stream.,self . stderr . write ( msg )
1612,"call the function color_style, substitute the result for self.style.",self . style = color_style ( )
1613,"replace every occurrence of raw string '\\' in s with a raw string '\\\\', use the result and string ""unicode_escape"",","return unicode ( s . replace ( r'\\' , r'\\\\' ) , ""unicode_escape"" )"
1614,iterator is None.,iterator = None
1615,"if initial is not equal to data, return boolean True, if it is return boolean False.",return initial != data
1616,substitute first element of level for common_ancestor.,common_ancestor = level [ 0 ]
1617,return data.,return data
1618,return boolean False.,return False
1619,return attrs.,return attrs
1620,remove dirname from the dirnames.,dirnames . remove ( dirname )
1621,"if not,",else :
1622,"if not,",else :
1623,substitute i-th element of self.forms for form.,form = self . forms [ i ]
1624,define the method write with 2 arguments: self and value.,"def write ( self , content ) :"
1625,return boolean False.,return False
1626,default_attrs is an dictionary with 2 initial entries: string '40' for 'cols' and string '10' for 'rows'.,"default_attrs = { 'cols' : '40' , 'rows' : '10' }"
1627,"if LookupError exception is caught,",except LookupError :
1628,"for every format in settings.SERIALIZATION_MODULES,",for format in settings . SERIALIZATION_MODULES :
1629,"if self.is_bound is true and self.errors is false, return boolean True, otherwise return boolean False.",return self . is_bound and not self . errors
1630,substitute self.registered_checks for checks.,checks = self . registered_checks
1631,substitute out for self._out.,self . _out = out
1632,from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
1633,"remove the value under 'max_length' key from the kwargs dictionary and if the key exists substitute it for self.max_length,","self . max_length = kwargs . pop ( 'max_length' , None )"
1634,"if not,",else :
1635,"define the method create_table with arguments self, database and tablename.","def create_table ( self , database , tablename ) :"
1636,"call method executor.collect_sql with plan as the argument, substitute the result for sql_statements.",sql_statements = executor . collect_sql ( plan )
1637,"return instance of _HashedSeq class, created with an argument key.",return _HashedSeq ( key )
